date,week,var,n_seq_var,n_seq_total,PointEst,Lower,Upper
03/25/2021,12,Alpha,2,17,0.117647059,0.032879774,0.343363506
04/01/2021,13,Alpha,3,25,0.12,0.041668172,0.299557939
04/08/2021,14,Alpha,6,66,0.090909091,0.042332975,0.184487299
04/15/2021,15,Alpha,10,64,0.15625,0.087148423,0.264280618
04/22/2021,16,Alpha,1,56,0.017857143,0.000915952,0.094456371
05/27/2021,21,Alpha,1,19,0.052631579,0.002699647,0.246387312
01/06/2022,1,Delta,3,81,0.037037037,0.012675114,0.103323113
01/13/2022,2,Delta,1,15,0.066666667,0.003419553,0.298165299
05/13/2021,19,Delta,1,52,0.019230769,0.00098641,0.101205111
05/20/2021,20,Delta,1,27,0.037037037,0.001899752,0.182834659
07/01/2021,26,Delta,1,63,0.015873016,0.000814179,0.084585255
07/08/2021,27,Delta,2,108,0.018518519,0.005093224,0.065019048
07/15/2021,28,Delta,8,145,0.055172414,0.028218774,0.105087221
07/22/2021,29,Delta,7,142,0.049295775,0.02408127,0.098253346
07/29/2021,30,Delta,11,127,0.086614173,0.049051856,0.148450213
08/05/2021,31,Delta,39,250,0.156,0.116265765,0.206145945
08/12/2021,32,Delta,23,142,0.161971831,0.110422345,0.231328616
08/19/2021,33,Delta,18,83,0.21686747,0.141815623,0.316968227
08/26/2021,34,Delta,50,109,0.458715596,0.36817162,0.55207046
09/02/2021,35,Delta,7,16,0.4375,0.230986524,0.668214436
09/09/2021,36,Delta,20,35,0.571428571,0.408574111,0.720154318
09/16/2021,37,Delta,49,66,0.742424242,0.625669015,0.832511564
09/23/2021,38,Delta,64,90,0.711111111,0.610359564,0.794578727
09/30/2021,39,Delta,81,101,0.801980198,0.713835912,0.867994985
10/07/2021,40,Delta,92,114,0.807017544,0.725057366,0.868961078
10/14/2021,41,Delta,33,44,0.75,0.605594336,0.854257862
10/21/2021,42,Delta,28,32,0.875,0.719316945,0.950298656
10/28/2021,43,Delta,27,30,0.9,0.743789174,0.965400111
11/04/2021,44,Delta,72,74,0.972972973,0.906707075,0.992556647
11/11/2021,45,Delta,85,89,0.95505618,0.89006954,0.982385514
11/18/2021,46,Delta,55,57,0.964912281,0.880792186,0.990324336
11/25/2021,47,Delta,8,9,0.888888889,0.565000294,0.994300745
12/02/2021,48,Delta,23,24,0.958333333,0.797581935,0.997862779
12/09/2021,49,Delta,41,51,0.803921569,0.675419205,0.889846575
12/16/2021,50,Delta,68,106,0.641509434,0.546742001,0.726378916
12/23/2021,51,Delta,22,91,0.241758242,0.165418037,0.339018097
12/30/2021,52,Delta,3,72,0.041666667,0.014270807,0.115492767
03/25/2021,12,Gamma,4,17,0.235294118,0.095550443,0.472617981
04/01/2021,13,Gamma,4,25,0.16,0.064034515,0.346536216
04/08/2021,14,Gamma,17,66,0.257575758,0.167488436,0.374330985
04/15/2021,15,Gamma,11,64,0.171875,0.098777423,0.282132116
04/22/2021,16,Gamma,15,56,0.267857143,0.169573054,0.395945559
04/29/2021,17,Gamma,10,46,0.217391304,0.122609053,0.355736874
05/06/2021,18,Gamma,6,16,0.375,0.184812326,0.613589595
05/13/2021,19,Gamma,11,52,0.211538462,0.122443705,0.340321046
05/20/2021,20,Gamma,8,27,0.296296296,0.158530405,0.48480683
05/27/2021,21,Gamma,5,19,0.263157895,0.118064123,0.487915509
06/03/2021,22,Gamma,8,28,0.285714286,0.152539961,0.470592884
06/10/2021,23,Gamma,1,14,0.071428571,0.003663807,0.314687044
06/17/2021,24,Gamma,4,16,0.25,0.101820675,0.494983165
06/24/2021,25,Gamma,5,25,0.2,0.088605847,0.391309504
07/01/2021,26,Gamma,9,63,0.142857143,0.077019483,0.249745659
07/08/2021,27,Gamma,9,108,0.083333333,0.044460405,0.150829062
07/15/2021,28,Gamma,11,145,0.075862069,0.042885733,0.130731612
07/22/2021,29,Gamma,6,142,0.042253521,0.019506786,0.089114308
07/29/2021,30,Gamma,8,127,0.062992126,0.032261688,0.119383356
08/05/2021,31,Gamma,7,250,0.028,0.013628059,0.056657776
08/12/2021,32,Gamma,10,142,0.070422535,0.0386989,0.124776281
08/19/2021,33,Gamma,5,83,0.060240964,0.026003401,0.133384281
08/26/2021,34,Gamma,4,109,0.036697248,0.014361702,0.090577201
09/09/2021,36,Gamma,1,35,0.028571429,0.001465523,0.145330872
09/16/2021,37,Gamma,2,66,0.03030303,0.00834991,0.103925219
09/23/2021,38,Gamma,2,90,0.022222222,0.006115442,0.077445267
09/30/2021,39,Gamma,1,101,0.00990099,0.000507854,0.053967158
10/07/2021,40,Gamma,1,114,0.00877193,0.000449941,0.048020347
10/14/2021,41,Gamma,1,44,0.022727273,0.001165757,0.118077097
04/01/2021,13,Lambda,3,25,0.12,0.041668172,0.299557939
04/08/2021,14,Lambda,3,66,0.045454545,0.015578274,0.125333141
04/22/2021,16,Lambda,4,56,0.071428571,0.028126037,0.169754481
05/13/2021,19,Lambda,4,52,0.076923077,0.030319345,0.181735624
05/20/2021,20,Lambda,1,27,0.037037037,0.001899752,0.182834659
05/27/2021,21,Lambda,1,19,0.052631579,0.002699647,0.246387312
07/01/2021,26,Lambda,1,63,0.015873016,0.000814179,0.084585255
07/08/2021,27,Lambda,1,108,0.009259259,0.000474938,0.050593455
07/15/2021,28,Lambda,1,145,0.006896552,0.000353747,0.038027731
07/22/2021,29,Lambda,1,142,0.007042254,0.00036122,0.038809272
07/29/2021,30,Lambda,1,127,0.007874016,0.000403884,0.043254008
08/05/2021,31,Lambda,1,250,0.004,0.000205173,0.022305786
08/19/2021,33,Lambda,1,83,0.012048193,0.000617991,0.065135807
03/25/2021,12,Mu,6,17,0.352941176,0.173097204,0.586996365
04/01/2021,13,Mu,4,25,0.16,0.064034515,0.346536216
04/08/2021,14,Mu,22,66,0.333333333,0.231564291,0.453436561
04/15/2021,15,Mu,36,64,0.5625,0.44086209,0.677059903
04/22/2021,16,Mu,30,56,0.535714286,0.407041819,0.659801471
04/29/2021,17,Mu,28,46,0.608695652,0.464568432,0.73606775
05/06/2021,18,Mu,10,16,0.625,0.386410405,0.815187674
05/13/2021,19,Mu,26,52,0.5,0.36885863,0.63114137
05/20/2021,20,Mu,11,27,0.407407407,0.245147571,0.59273299
05/27/2021,21,Mu,11,19,0.578947368,0.362759035,0.768581087
06/03/2021,22,Mu,20,28,0.714285714,0.529407116,0.847460039
06/10/2021,23,Mu,13,14,0.928571429,0.685312956,0.996336193
06/17/2021,24,Mu,12,16,0.75,0.505016835,0.898179325
06/24/2021,25,Mu,20,25,0.8,0.608690496,0.911394153
07/01/2021,26,Mu,51,63,0.80952381,0.695932129,0.887538081
07/08/2021,27,Mu,95,108,0.87962963,0.804891348,0.92828936
07/15/2021,28,Mu,123,145,0.848275862,0.780956029,0.897618347
07/22/2021,29,Mu,120,142,0.845070423,0.776557301,0.895405259
07/29/2021,30,Mu,98,127,0.771653543,0.691311406,0.836044378
08/05/2021,31,Mu,202,250,0.808,0.754661999,0.852015889
08/12/2021,32,Mu,109,142,0.767605634,0.691648293,0.829465529
08/19/2021,33,Mu,59,83,0.710843373,0.605707792,0.797325512
08/26/2021,34,Mu,55,109,0.504587156,0.412181055,0.596680936
09/02/2021,35,Mu,9,16,0.5625,0.331785564,0.769013476
09/09/2021,36,Mu,14,35,0.4,0.255507289,0.56427291
09/16/2021,37,Mu,15,66,0.227272727,0.142852296,0.341694554
