MunCode,Date,AgeGroup,Deaths
11001,2020-03-25,ACF70_80,1
11001,2020-03-26,ACF50_60,1
11001,2020-03-26,ACF80_120,1
11001,2020-03-28,ACF50_60,2
11001,2020-03-28,ACF70_80,1
11001,2020-03-29,ACF30_40,1
11001,2020-03-30,ACF20_30,1
11001,2020-03-30,ACF70_80,1
11001,2020-03-30,ACF80_120,1
11001,2020-03-31,ACF60_70,1
11001,2020-03-31,ACF80_120,1
11001,2020-04-01,ACF80_120,1
11001,2020-04-02,ACF40_50,1
11001,2020-04-02,ACF60_70,1
11001,2020-04-02,ACF70_80,1
11001,2020-04-03,ACF30_40,1
11001,2020-04-03,ACF60_70,1
11001,2020-04-03,ACF70_80,1
11001,2020-04-03,ACF80_120,2
11001,2020-04-04,ACF50_60,1
11001,2020-04-04,ACF60_70,2
11001,2020-04-04,ACF70_80,2
11001,2020-04-04,ACF80_120,3
11001,2020-04-05,ACF30_40,2
11001,2020-04-05,ACF60_70,1
11001,2020-04-05,ACF70_80,1
11001,2020-04-05,ACF80_120,1
11001,2020-04-06,ACF40_50,2
11001,2020-04-06,ACF50_60,1
11001,2020-04-06,ACF60_70,1
11001,2020-04-06,ACF70_80,2
11001,2020-04-07,ACF20_30,1
11001,2020-04-07,ACF40_50,1
11001,2020-04-07,ACF70_80,3
11001,2020-04-07,ACF80_120,1
11001,2020-04-08,ACF50_60,1
11001,2020-04-09,ACF50_60,1
11001,2020-04-09,ACF60_70,2
11001,2020-04-09,ACF80_120,1
11001,2020-04-10,ACF50_60,1
11001,2020-04-10,ACF70_80,1
11001,2020-04-10,ACF80_120,1
11001,2020-04-11,ACF30_40,1
11001,2020-04-11,ACF50_60,1
11001,2020-04-11,ACF60_70,2
11001,2020-04-11,ACF70_80,1
11001,2020-04-12,ACF40_50,1
11001,2020-04-13,ACF60_70,2
11001,2020-04-13,ACF70_80,1
11001,2020-04-13,ACF80_120,1
11001,2020-04-14,ACF60_70,2
11001,2020-04-14,ACF70_80,3
11001,2020-04-14,ACF80_120,1
11001,2020-04-15,ACF60_70,1
11001,2020-04-15,ACF80_120,2
11001,2020-04-16,ACF70_80,2
11001,2020-04-16,ACF80_120,2
11001,2020-04-17,ACF30_40,1
11001,2020-04-17,ACF80_120,1
11001,2020-04-18,ACF60_70,1
11001,2020-04-18,ACF70_80,1
11001,2020-04-19,ACF50_60,1
11001,2020-04-19,ACF60_70,1
11001,2020-04-19,ACF70_80,1
11001,2020-04-19,ACF80_120,1
11001,2020-04-20,ACF60_70,1
11001,2020-04-20,ACF70_80,1
11001,2020-04-20,ACF80_120,1
11001,2020-04-21,ACF50_60,1
11001,2020-04-21,ACF60_70,1
11001,2020-04-21,ACF70_80,2
11001,2020-04-21,ACF80_120,1
11001,2020-04-23,ACF30_40,1
11001,2020-04-23,ACF60_70,1
11001,2020-04-24,ACF40_50,1
11001,2020-04-24,ACF60_70,1
11001,2020-04-24,ACF70_80,2
11001,2020-04-25,ACF70_80,1
11001,2020-04-26,ACF40_50,1
11001,2020-04-26,ACF60_70,2
11001,2020-04-26,ACF70_80,1
11001,2020-04-26,ACF80_120,2
11001,2020-04-27,ACF50_60,1
11001,2020-04-27,ACF60_70,1
11001,2020-04-27,ACF70_80,2
11001,2020-04-28,ACF50_60,1
11001,2020-04-28,ACF60_70,2
11001,2020-04-28,ACF70_80,2
11001,2020-04-28,ACF80_120,1
11001,2020-04-29,ACF20_30,1
11001,2020-04-29,ACF60_70,1
11001,2020-04-29,ACF80_120,1
11001,2020-04-30,ACF50_60,1
11001,2020-04-30,ACF60_70,1
11001,2020-04-30,ACF70_80,2
11001,2020-04-30,ACF80_120,1
11001,2020-05-01,ACF70_80,3
11001,2020-05-02,ACF20_30,1
11001,2020-05-02,ACF50_60,1
11001,2020-05-02,ACF70_80,1
11001,2020-05-03,ACF30_40,1
11001,2020-05-03,ACF50_60,2
11001,2020-05-03,ACF60_70,1
11001,2020-05-04,ACF40_50,1
11001,2020-05-04,ACF50_60,1
11001,2020-05-04,ACF60_70,3
11001,2020-05-05,ACF50_60,1
11001,2020-05-05,ACF70_80,1
11001,2020-05-06,ACF40_50,1
11001,2020-05-06,ACF70_80,1
11001,2020-05-06,ACF80_120,4
11001,2020-05-07,ACF40_50,1
11001,2020-05-07,ACF60_70,1
11001,2020-05-08,ACF70_80,2
11001,2020-05-08,ACF80_120,2
11001,2020-05-09,ACF50_60,3
11001,2020-05-09,ACF60_70,1
11001,2020-05-09,ACF70_80,1
11001,2020-05-10,ACF50_60,2
11001,2020-05-10,ACF60_70,2
11001,2020-05-10,ACF70_80,2
11001,2020-05-10,ACF80_120,1
11001,2020-05-11,ACF50_60,1
11001,2020-05-11,ACF60_70,3
11001,2020-05-11,ACF70_80,2
11001,2020-05-11,ACF80_120,1
11001,2020-05-13,ACF50_60,1
11001,2020-05-13,ACF70_80,1
11001,2020-05-13,ACF80_120,1
11001,2020-05-14,ACF60_70,1
11001,2020-05-14,ACF70_80,1
11001,2020-05-15,ACF50_60,1
11001,2020-05-15,ACF60_70,1
11001,2020-05-15,ACF70_80,1
11001,2020-05-15,ACF80_120,3
11001,2020-05-16,ACF50_60,1
11001,2020-05-16,ACF70_80,1
11001,2020-05-16,ACF80_120,2
11001,2020-05-17,ACF60_70,1
11001,2020-05-17,ACF70_80,1
11001,2020-05-18,ACF40_50,1
11001,2020-05-18,ACF60_70,2
11001,2020-05-18,ACF80_120,2
11001,2020-05-19,ACF60_70,3
11001,2020-05-19,ACF80_120,1
11001,2020-05-20,ACF50_60,4
11001,2020-05-20,ACF60_70,1
11001,2020-05-20,ACF70_80,1
11001,2020-05-21,ACF30_40,1
11001,2020-05-21,ACF40_50,1
11001,2020-05-21,ACF50_60,3
11001,2020-05-21,ACF70_80,3
11001,2020-05-22,ACF30_40,1
11001,2020-05-22,ACF40_50,2
11001,2020-05-22,ACF70_80,3
11001,2020-05-22,ACF80_120,3
11001,2020-05-23,ACF60_70,5
11001,2020-05-23,ACF70_80,2
11001,2020-05-23,ACF80_120,2
11001,2020-05-24,ACF40_50,1
11001,2020-05-24,ACF50_60,1
11001,2020-05-24,ACF70_80,1
11001,2020-05-24,ACF80_120,1
11001,2020-05-25,ACF50_60,2
11001,2020-05-25,ACF80_120,2
11001,2020-05-26,ACF50_60,1
11001,2020-05-26,ACF60_70,2
11001,2020-05-26,ACF70_80,2
11001,2020-05-26,ACF80_120,3
11001,2020-05-27,ACF30_40,1
11001,2020-05-27,ACF40_50,1
11001,2020-05-27,ACF60_70,1
11001,2020-05-27,ACF70_80,1
11001,2020-05-27,ACF80_120,1
11001,2020-05-28,ACF40_50,1
11001,2020-05-28,ACF50_60,1
11001,2020-05-28,ACF70_80,1
11001,2020-05-28,ACF80_120,1
11001,2020-05-29,ACF40_50,1
11001,2020-05-29,ACF50_60,2
11001,2020-05-29,ACF60_70,2
11001,2020-05-29,ACF70_80,4
11001,2020-05-29,ACF80_120,2
11001,2020-05-30,ACF50_60,2
11001,2020-05-30,ACF70_80,1
11001,2020-05-30,ACF80_120,4
11001,2020-05-31,ACF40_50,1
11001,2020-05-31,ACF50_60,1
11001,2020-05-31,ACF60_70,4
11001,2020-05-31,ACF70_80,1
11001,2020-05-31,ACF80_120,3
11001,2020-06-01,ACF30_40,1
11001,2020-06-01,ACF60_70,3
11001,2020-06-01,ACF70_80,1
11001,2020-06-01,ACF80_120,4
11001,2020-06-02,ACF60_70,1
11001,2020-06-02,ACF80_120,2
11001,2020-06-03,ACF50_60,1
11001,2020-06-03,ACF60_70,1
11001,2020-06-03,ACF70_80,2
11001,2020-06-03,ACF80_120,4
11001,2020-06-04,ACF40_50,1
11001,2020-06-04,ACF50_60,1
11001,2020-06-04,ACF60_70,2
11001,2020-06-04,ACF70_80,5
11001,2020-06-04,ACF80_120,2
11001,2020-06-05,ACF50_60,1
11001,2020-06-05,ACF60_70,3
11001,2020-06-05,ACF70_80,5
11001,2020-06-05,ACF80_120,4
11001,2020-06-06,ACF30_40,1
11001,2020-06-06,ACF40_50,1
11001,2020-06-06,ACF60_70,3
11001,2020-06-06,ACF70_80,1
11001,2020-06-06,ACF80_120,3
11001,2020-06-07,ACF40_50,1
11001,2020-06-07,ACF50_60,1
11001,2020-06-07,ACF60_70,1
11001,2020-06-07,ACF70_80,1
11001,2020-06-07,ACF80_120,5
11001,2020-06-08,ACF30_40,2
11001,2020-06-08,ACF40_50,3
11001,2020-06-08,ACF50_60,2
11001,2020-06-08,ACF60_70,2
11001,2020-06-08,ACF80_120,4
11001,2020-06-09,ACF40_50,1
11001,2020-06-09,ACF50_60,2
11001,2020-06-09,ACF60_70,5
11001,2020-06-09,ACF70_80,2
11001,2020-06-09,ACF80_120,3
11001,2020-06-10,ACF30_40,1
11001,2020-06-10,ACF50_60,2
11001,2020-06-10,ACF60_70,2
11001,2020-06-10,ACF70_80,1
11001,2020-06-10,ACF80_120,5
11001,2020-06-11,ACF40_50,2
11001,2020-06-11,ACF60_70,1
11001,2020-06-11,ACF70_80,7
11001,2020-06-11,ACF80_120,3
11001,2020-06-12,ACF40_50,1
11001,2020-06-12,ACF50_60,1
11001,2020-06-12,ACF60_70,1
11001,2020-06-12,ACF70_80,4
11001,2020-06-12,ACF80_120,1
11001,2020-06-13,ACF40_50,1
11001,2020-06-13,ACF50_60,3
11001,2020-06-13,ACF60_70,1
11001,2020-06-13,ACF70_80,1
11001,2020-06-13,ACF80_120,4
11001,2020-06-14,ACF20_30,1
11001,2020-06-14,ACF30_40,1
11001,2020-06-14,ACF40_50,3
11001,2020-06-14,ACF50_60,6
11001,2020-06-14,ACF60_70,1
11001,2020-06-14,ACF70_80,4
11001,2020-06-14,ACF80_120,1
11001,2020-06-15,ACF50_60,3
11001,2020-06-15,ACF60_70,2
11001,2020-06-15,ACF70_80,7
11001,2020-06-15,ACF80_120,6
11001,2020-06-16,ACF40_50,1
11001,2020-06-16,ACF50_60,2
11001,2020-06-16,ACF60_70,1
11001,2020-06-16,ACF70_80,2
11001,2020-06-16,ACF80_120,6
11001,2020-06-17,ACF30_40,1
11001,2020-06-17,ACF40_50,1
11001,2020-06-17,ACF50_60,1
11001,2020-06-17,ACF60_70,8
11001,2020-06-17,ACF70_80,9
11001,2020-06-17,ACF80_120,4
11001,2020-06-18,ACF50_60,1
11001,2020-06-18,ACF60_70,2
11001,2020-06-18,ACF70_80,4
11001,2020-06-18,ACF80_120,1
11001,2020-06-19,ACF30_40,1
11001,2020-06-19,ACF40_50,1
11001,2020-06-19,ACF50_60,4
11001,2020-06-19,ACF60_70,3
11001,2020-06-19,ACF70_80,5
11001,2020-06-19,ACF80_120,1
11001,2020-06-20,ACF40_50,1
11001,2020-06-20,ACF60_70,5
11001,2020-06-20,ACF70_80,1
11001,2020-06-20,ACF80_120,5
11001,2020-06-21,ACF30_40,2
11001,2020-06-21,ACF40_50,1
11001,2020-06-21,ACF50_60,4
11001,2020-06-21,ACF60_70,4
11001,2020-06-21,ACF70_80,4
11001,2020-06-21,ACF80_120,7
11001,2020-06-22,ACF30_40,2
11001,2020-06-22,ACF40_50,2
11001,2020-06-22,ACF50_60,4
