Date,ICU_admissions,ICU_cancelled,ICU_deaths,ICU_admissions_demand,Prop,ICU_admissions_bog
2020-06-16,11,1,0,12,0,11
2020-06-17,26,0,0,26,0,26
2020-06-18,33,0,1,33,0,33
2020-06-19,35,0,3,35,0,35
2020-06-20,40,2,0,42,0,40
2020-06-21,34,1,2,35,0,34
2020-06-22,44,1,1,45,0,44
2020-06-23,38,1,1,39,0,38
2020-06-24,59,1,0,60,0,59
2020-06-25,49,3,0,52,0,49
2020-06-26,50,1,0,51,0,50
2020-06-27,50,3,0,53,0,50
2020-06-28,50,4,2,54,0,50
2020-06-29,58,1,2,59,0,58
2020-06-30,54,6,3,60,0,54
2020-07-01,62,3,1,65,0,62
2020-07-02,79,4,5,83,0,79
2020-07-03,77,6,4,83,0,77
2020-07-04,76,11,0,87,0,76
2020-07-05,71,2,2,73,0,71
2020-07-06,90,9,3,99,0,90
2020-07-07,66,5,5,71,0,66
2020-07-08,69,7,3,76,0,69
2020-07-09,77,9,11,86,0,77
2020-07-10,74,8,5,82,0,74
2020-07-11,80,11,3,91,0,80
2020-07-12,92,17,6,109,0,92
2020-07-13,64,17,5,81,0,64
2020-07-14,104,13,8,117,0,104
2020-07-15,62,13,4,75,0,62
2020-07-16,126,19,9,145,0,126
2020-07-17,108,10,12,118,0,108
2020-07-18,81,9,10,90,0,81
2020-07-19,88,16,7,104,0,88
2020-07-20,113,24,8,137,0,113
2020-07-21,61,14,3,75,0,61
2020-07-22,117,19,13,136,0,117
2020-07-23,97,32,6,129,0,97
2020-07-24,136,37,21,173,0,136
2020-07-25,157,40,12,197,0,157
2020-07-26,178,48,15,226,0,178
2020-07-27,150,41,21,191,0,150
2020-07-28,126,36,12,162,0,126
2020-07-29,108,23,7,131,0,108
2020-07-30,110,18,25,128,0,110
2020-07-31,122,26,8,148,0,122
2020-08-01,107,15,8,122,0,107
2020-08-02,109,15,6,124,0,109
2020-08-03,140,23,11,163,0,140
2020-08-04,115,15,7,130,0,115
2020-08-05,121,15,9,136,0,121
2020-08-06,112,16,6,128,0,112
2020-08-07,113,17,8,130,0,113
2020-08-08,97,12,6,109,0,97
2020-08-09,118,12,8,130,0,118
2020-08-10,90,14,2,104,0,90
2020-08-11,109,20,6,129,0,109
2020-08-12,101,14,4,115,0,101
2020-08-13,95,8,4,103,0,95
2020-08-14,98,10,4,108,0,98
2020-08-15,73,5,0,78,0,73
2020-08-16,115,7,2,122,0,115
2020-08-17,85,8,2,93,0,85
2020-08-18,90,9,3,99,0,90
2020-08-19,98,11,3,109,0,98
2020-08-20,88,6,3,94,0,88
2020-08-21,94,4,5,98,0,94
2020-08-22,76,3,2,79,0,76
2020-08-23,73,7,1,80,0,73
2020-08-24,95,3,1,98,0,95
2020-08-25,85,6,5,91,0,85
2020-08-26,102,5,1,107,0,102
2020-08-27,86,4,3,90,0,86
2020-08-28,95,2,4,97,0,95
2020-08-29,78,4,0,82,0,78
