MunCode,Localidad,Date,Cases,Deaths
11001,1,2020-02-26,1,0
11001,1,2020-03-01,1,0
11001,1,2020-03-04,1,0
11001,1,2020-03-05,1,0
11001,1,2020-03-07,3,0
11001,1,2020-03-09,2,0
11001,1,2020-03-10,3,0
11001,1,2020-03-11,1,0
11001,1,2020-03-12,7,0
11001,1,2020-03-13,3,0
11001,1,2020-03-14,6,0
11001,1,2020-03-15,7,0
11001,1,2020-03-16,15,0
11001,1,2020-03-17,11,0
11001,1,2020-03-18,8,0
11001,1,2020-03-19,16,0
11001,1,2020-03-20,10,0
11001,1,2020-03-21,6,0
11001,1,2020-03-22,11,0
11001,1,2020-03-23,6,0
11001,1,2020-03-24,8,0
11001,1,2020-03-25,7,0
11001,1,2020-03-26,7,0
11001,1,2020-03-27,10,0
11001,1,2020-03-28,9,0
11001,1,2020-03-29,4,0
11001,1,2020-03-30,8,1
11001,1,2020-03-31,7,0
11001,1,2020-04-01,11,0
11001,1,2020-04-02,7,0
11001,1,2020-04-03,8,3
11001,1,2020-04-04,4,0
11001,1,2020-04-05,6,1
11001,1,2020-04-06,4,1
11001,1,2020-04-07,3,1
11001,1,2020-04-08,5,0
11001,1,2020-04-09,1,0
11001,1,2020-04-10,4,0
11001,1,2020-04-11,8,0
11001,1,2020-04-12,9,0
11001,1,2020-04-14,4,1
11001,1,2020-04-15,2,0
11001,1,2020-04-16,1,0
11001,1,2020-04-17,3,0
11001,1,2020-04-18,4,0
11001,1,2020-04-19,2,0
11001,1,2020-04-20,2,1
11001,1,2020-04-21,2,1
11001,1,2020-04-22,1,0
11001,1,2020-04-23,6,0
11001,1,2020-04-24,5,0
11001,1,2020-04-25,1,0
11001,1,2020-04-26,4,0
11001,1,2020-04-27,5,0
11001,1,2020-04-28,3,0
11001,1,2020-04-29,3,0
11001,1,2020-04-30,4,0
11001,1,2020-05-01,4,0
11001,1,2020-05-02,4,0
11001,1,2020-05-03,2,0
11001,1,2020-05-04,4,0
11001,1,2020-05-05,6,0
11001,1,2020-05-06,14,0
11001,1,2020-05-07,1,0
11001,1,2020-05-08,6,0
11001,1,2020-05-09,4,0
