"Date","Imports","Replicate"
2020-01-22,4,1
2020-01-24,1,1
2020-01-25,1,1
2020-01-26,1,1
2020-01-27,4,1
2020-01-28,9,1
2020-01-29,2,1
2020-01-30,13,1
2020-01-31,5,1
2020-02-01,12,1
2020-02-02,26,1
2020-02-03,9,1
2020-02-04,24,1
2020-02-05,16,1
2020-02-06,24,1
2020-02-07,15,1
2020-02-08,9,1
2020-02-09,10,1
2020-02-10,10,1
2020-02-11,7,1
2020-02-12,1,1
2020-02-13,69,1
2020-02-14,35,1
2020-02-15,9,1
2020-02-16,10,1
2020-02-17,13,1
2020-02-18,10,1
2020-02-19,5,1
2020-02-20,3,1
2020-02-21,3,1
2020-02-22,4,1
2020-02-23,3,1
2020-02-24,4,1
2020-02-25,4,1
2020-02-26,6,1
2020-02-27,7,1
2020-02-28,8,1
2020-02-29,19,1
2020-03-01,11,1
2020-03-02,12,1
2020-03-03,16,1
2020-03-04,14,1
2020-03-05,11,1
2020-03-06,18,1
2020-03-07,15,1
2020-03-08,22,1
2020-03-09,20,1
2020-03-10,22,1
2020-03-11,30,1
2020-03-12,12,1
2020-03-13,77,1
2020-03-14,61,1
2020-03-15,64,1
2020-03-16,65,1
2020-03-17,77,1
2020-03-18,76,1
2020-03-19,92,1
2020-03-20,59,1
2020-03-21,44,1
2020-03-22,27,1
2020-01-23,1,2
2020-01-24,1,2
2020-01-25,1,2
2020-01-26,2,2
2020-01-27,3,2
2020-01-28,14,2
2020-01-30,2,2
2020-01-31,3,2
2020-02-01,9,2
2020-02-02,19,2
2020-02-03,7,2
2020-02-04,7,2
2020-02-05,7,2
2020-02-06,7,2
2020-02-07,10,2
2020-02-08,7,2
2020-02-09,9,2
2020-02-10,6,2
2020-02-11,3,2
2020-02-12,1,2
2020-02-13,40,2
2020-02-14,16,2
2020-02-15,7,2
2020-02-16,3,2
2020-02-17,8,2
2020-02-18,3,2
2020-02-19,2,2
2020-02-20,1,2
2020-02-21,4,2
2020-02-22,3,2
2020-02-25,2,2
2020-02-26,2,2
2020-02-27,3,2
2020-02-28,7,2
2020-02-29,3,2
2020-03-01,5,2
2020-03-02,5,2
2020-03-03,7,2
2020-03-04,6,2
2020-03-05,5,2
2020-03-06,9,2
