Date,variant,scaled_imports
2019-10-12,Otros,0.0
2019-10-15,Otros,0.0001592718997891596
2019-10-17,Otros,0.00023890784967430968
2019-10-19,Otros,0.00031854379955126565
2019-10-22,Otros,0.0005574516491575512
2019-10-23,Otros,0.0006370875990118148
2019-10-24,Otros,0.000875995448555693
2019-10-31,Otros,0.0010352673482390035
2019-11-01,Otros,0.002150170645261175
2019-11-02,Otros,0.0024687144443715134
2019-11-03,Otros,0.003424345841585964
2019-11-04,Otros,0.004618885087958325
2019-11-05,Otros,0.004937428886952101
2019-11-07,Otros,0.0053356086356193865
2019-11-08,Otros,0.005654152434433323
2019-11-09,Otros,0.006848691679760781
2019-11-12,Otros,0.0070079635791078015
2019-11-13,Otros,0.007406143327209726
2019-11-14,Otros,0.00883959041995991
2019-11-15,Otros,0.009635949915700711
2019-11-16,Otros,0.011308304856270195
2019-11-17,Otros,0.011626848654381296
2019-11-18,Otros,0.012104664351409033
2019-11-19,Otros,0.012741751947260798
2019-11-20,Otros,0.012980659795597772
2019-11-21,Otros,0.013299203593237155
2019-11-22,Otros,0.013777019289481352
2019-11-23,Otros,0.01624573371896619
2019-11-24,Otros,0.01767918080640954
2019-11-25,Otros,0.01847554029907549
2019-11-26,Otros,0.01895335599446019
2019-11-27,Otros,0.019510807638687427
2019-11-28,Otros,0.020705346875485277
2019-11-29,Otros,0.020784982824549672
2019-11-30,Otros,0.020944254722567533
2019-12-02,Otros,0.021660978263148733
2019-12-03,Otros,0.02229806585388906
2019-12-04,Otros,0.02325369723896757
2019-12-05,Otros,0.02516496000706064
2019-12-06,Otros,0.02627986328724429
2019-12-07,Otros,0.028907849587696384
2019-12-08,Otros,0.03089874829504608
2019-12-09,Otros,0.03281001105332474
2019-12-10,Otros,0.03312855484465055
2019-12-11,Otros,0.03496018164582777
2019-12-12,Otros,0.03535836138381488
2019-12-13,Otros,0.035597269221311394
2019-12-14,Otros,0.03687144438034634
2019-12-15,Otros,0.03711035219206641
2019-12-16,Otros,0.03703071623527481
2019-12-17,Otros,0.03655290052189685
2019-12-18,Otros,0.03623435669360936
2019-12-19,Otros,0.03774743967311249
2019-12-20,Otros,0.03886234291143576
2019-12-21,Otros,0.039340158577384404
2019-12-22,Otros,0.03918088663355137
2019-12-23,Otros,0.041251421223922044
2019-12-24,Otros,0.04204778066362848
2019-12-25,Otros,0.04260523220915726
2019-12-26,Otros,0.04332195567237657
