zipcode,Grade,start_date,end_date,InPerson,Total_students,Capacity
27001,SECONDARY,2021-02-15,2021-03-05,490.10125406409657,34940,0.014026939154667904
27001,SECONDARY,2021-03-05,2021-03-12,490.10125406409657,34940,0.014026939154667904
27001,SECONDARY,2021-03-12,2021-03-19,490.10125406409657,34940,0.014026939154667904
27001,SECONDARY,2021-03-19,2021-03-26,490.10125406409657,34940,0.014026939154667904
27001,SECONDARY,2021-03-26,2021-04-09,490.10125406409657,34940,0.014026939154667904
27001,SECONDARY,2021-04-09,2021-04-18,490.10125406409657,34940,0.014026939154667904
27001,SECONDARY,2021-04-18,2021-04-26,411.12246477782935,34940,0.011766527326211487
27001,SECONDARY,2021-05-10,2021-05-24,411.12246477782935,34940,0.011766527326211487
27001,UNIVERSITY,2021-02-15,2021-03-05,207.70380546123778,13398,0.0155025978102133
27001,UNIVERSITY,2021-03-05,2021-03-12,207.70380546123778,13398,0.0155025978102133
27001,UNIVERSITY,2021-03-12,2021-03-19,221.9347733044198,13398,0.01656476886881772
27001,UNIVERSITY,2021-03-19,2021-03-26,230.9358860958142,13398,0.01723659397640052
27001,UNIVERSITY,2021-03-26,2021-04-09,295.0644705680943,13398,0.02202302362801122
27001,UNIVERSITY,2021-04-09,2021-04-18,297.6449054127315,13398,0.022215622138582733
27001,UNIVERSITY,2021-04-18,2021-04-26,293.0227123576911,13398,0.021870630867121293
27001,UNIVERSITY,2021-05-10,2021-05-24,293.0227123576911,13398,0.021870630867121293
27006,SECONDARY,2021-02-15,2021-03-05,148.39098931723177,10579,0.014026939154667906
27006,SECONDARY,2021-03-05,2021-03-12,148.39098931723177,10579,0.014026939154667906
27006,SECONDARY,2021-03-12,2021-03-19,148.39098931723177,10579,0.014026939154667906
27006,SECONDARY,2021-03-19,2021-03-26,148.39098931723177,10579,0.014026939154667906
27006,SECONDARY,2021-03-26,2021-04-09,148.39098931723177,10579,0.014026939154667906
27006,SECONDARY,2021-04-09,2021-04-18,148.39098931723177,10579,0.014026939154667906
27006,SECONDARY,2021-04-18,2021-04-26,124.47809258399133,10579,0.011766527326211487
27006,SECONDARY,2021-05-10,2021-05-24,124.47809258399133,10579,0.011766527326211487
27006,UNIVERSITY,2021-02-15,2021-03-05,0.15502597810213298,10,0.015502597810213297
27006,UNIVERSITY,2021-03-05,2021-03-12,0.15502597810213298,10,0.015502597810213297
27006,UNIVERSITY,2021-03-12,2021-03-19,0.16564768868817717,10,0.016564768868817716
27006,UNIVERSITY,2021-03-19,2021-03-26,0.17236593976400522,10,0.01723659397640052
27006,UNIVERSITY,2021-03-26,2021-04-09,0.22023023628011215,10,0.022023023628011215
27006,UNIVERSITY,2021-04-09,2021-04-18,0.22215622138582736,10,0.022215622138582736
27006,UNIVERSITY,2021-04-18,2021-04-26,0.21870630867121293,10,0.021870630867121293
27006,UNIVERSITY,2021-05-10,2021-05-24,0.21870630867121293,10,0.021870630867121293
27025,SECONDARY,2021-02-15,2021-03-05,105.63687877380399,7531,0.014026939154667904
27025,SECONDARY,2021-03-05,2021-03-12,105.63687877380399,7531,0.014026939154667904
