State,School_closure,Shelter_in_place,state,state_name,early_rate
11001,01/15/2020,03/20/2020,Bogota,Bogota,0.045411913
44,01/15/2020,03/20/2020,La Guajira,La Guajira,0.045411913
91,01/15/2020,03/20/2020,Amazonas,Amazonas,0.045411913
5,01/15/2020,03/20/2020,Antioquia,Antioquia,0.045411913
81,01/15/2020,03/20/2020,Arauca,Arauca,0.045411913
8,01/15/2020,03/20/2020,Atlantico,Atlantico,0.045411913
11,01/15/2020,03/20/2020,Bogota,Bogota,0.045411913
13,01/15/2020,03/20/2020,Bolivar,Bolivar,0.045411913
15,01/15/2020,03/20/2020,Boyaca,Boyaca,0.045411913
17,01/15/2020,03/20/2020,Caldas,Caldas,0.045411913
18,01/15/2020,03/20/2020,Caqueta,Caqueta,0.045411913
73,01/15/2020,03/20/2020,Casanare,Casanare,0.045411913
19,01/15/2020,03/20/2020,Cauca,Cauca,0.045411913
20,01/15/2020,03/20/2020,Cesar,Cesar,0.045411913
27,01/15/2020,03/20/2020,Choco,Choco,0.045411913
23,01/15/2020,03/20/2020,Cordoba,Cordoba,0.045411913
25,01/15/2020,03/20/2020,Cundinamarca,Cundinamarca,0.045411913
95,01/15/2020,03/20/2020,Guaviare,Guaviare,0.045411913
41,01/15/2020,03/20/2020,Huila,Huila,0.045411913
47,01/15/2020,03/20/2020,Magdalena,Magdalena,0.045411913
50,01/15/2020,03/20/2020,Meta,Meta,0.045411913
52,01/15/2020,03/20/2020,Narino,Narino,0.045411913
54,01/15/2020,03/20/2020,North Santander,North Santander,0.045411913
86,01/15/2020,03/20/2020,Putumayo,Putumayo,0.045411913
63,01/15/2020,03/20/2020,Quindio,Quindio,0.045411913
66,01/15/2020,03/20/2020,Risaralda,Risaralda,0.045411913
88,01/15/2020,03/20/2020,San Andres and Providencia,San Andres and Providencia,0.045411913
68,01/15/2020,03/20/2020,Santander,Santander,0.045411913
70,01/15/2020,03/20/2020,Sucre,Sucre,0.045411913
73,01/15/2020,03/20/2020,Tolima,Tolima,0.045411913
76,01/15/2020,03/20/2020,Valle del Cauca,Valle del Cauca,0.045411913
99,01/15/2020,03/20/2020,Vichada,Vichada,0.045411913
