Date,Vaccine,StockType,TotalVaccines,ID
2021-02-16,pfizer,1,12582,2
2021-02-22,sinovac,1,12026,1
2021-02-24,pfizer,1,16218,2
2021-03-01,pfizer,1,39918,2
2021-03-04,pfizer,1,16446,2
2021-03-08,sinovac,1,133781,1
2021-03-15,pfizer,1,56136,2
2021-03-16,sinovac,1,12026,1
2021-03-16,sinovac,1,4857,1
2021-03-21,sinovac,1,54202,1
2021-03-21,pfizer,1,14004,2
2021-03-23,sinovac,1,72457,1
2021-03-25,pfizer,1,30918,2
2021-03-25,astrazeneca,1,76490,0
2021-03-29,sinovac,1,80131,1
2021-03-31,pfizer,1,31590,2
2021-04-05,pfizer,1,69030,2
2021-04-09,pfizer,1,58494,2
2021-04-12,sinovac,1,50247,1
2021-04-13,pfizer,1,93600,2
2021-04-13,pfizer,1,31590,2
2021-04-21,pfizer,1,127524,2
2021-04-21,pfizer,1,16302,2
2021-04-25,astrazeneca,1,155540,0
2021-04-27,sinovac,1,174919,1
2021-04-29,pfizer,1,116988,2
2021-05-01,sinovac,1,170016,1
2021-05-06,pfizer,1,40950,2
2021-05-12,sinovac,1,96126,1
2021-05-12,sinovac,1,8520,1
2021-05-12,sinovac,1,810,1
2021-05-12,sinovac,1,4436,1
2021-05-12,pfizer,1,16380,2
2021-05-12,pfizer,1,43290,2
2021-05-12,pfizer,1,23400,2
2021-05-21,sinovac,1,123110,1
2021-05-21,pfizer,1,23400,2
2021-05-21,pfizer,1,90090,2
2021-05-21,pfizer,1,35100,2
2021-05-21,pfizer,1,7020,2
2021-05-21,pfizer,1,8190,2
2021-05-21,pfizer,1,19890,2
2021-05-21,pfizer,1,726,2
2021-05-25,sinovac,1,79662,1
2021-05-25,sinovac,1,38020,1
2021-05-25,sinovac,1,17684,1
2021-05-25,sinovac,1,20000,1
2021-05-25,pfizer,1,40950,2
2021-05-25,pfizer,1,21060,2
2021-05-25,pfizer,1,26910,2
2021-05-27,pfizer,1,66690,2
2021-06-02,pfizer,1,91260,2
2021-06-04,pfizer,1,66690,2
2021-06-04,pfizer,1,42120,2
2021-06-10,pfizer,1,126360,2
2021-06-10,pfizer,1,160290,2
2021-06-10,sinovac,1,129914,1
2021-06-16,pfizer,1,98280,2
2021-06-17,pfizer,1,47970,2
2021-06-20,astrazeneca,1,76490,0
2021-06-21,astrazeneca,1,65100,0
2021-06-22,sinovac,1,76330,1
2021-06-23,pfizer,1,66690,2
2021-06-24,pfizer,1,133380,2
2021-06-28,sinovac,1,310600,1
2021-06-29,pfizer,1,126360,2
2021-06-30,pfizer,1,84228,2
2021-07-01,janssen,1,315550,4
2021-07-07,pfizer,1,17550,2
2021-07-12,astrazeneca,1,155540,0
2021-07-13,sinovac,1,386930,1
2021-07-15,pfizer,1,45630,2
2021-07-16,sinovac,1,81440,1
2021-07-21,pfizer,1,35100,2
2021-07-21,pfizer,1,50310,2
2021-07-27,moderna,1,524160,3
2021-07-28,sinovac,1,47500,1
2021-07-29,pfizer,1,78390,2
2021-08-05,moderna,1,45500,3
2021-08-06,pfizer,1,5850,2
2021-08-11,astrazeneca,1,55500,0
2021-08-11,pfizer,1,195390,2
2021-08-13,astrazeneca,1,108200,0
2021-08-19,moderna,1,116340,3
2021-08-19,pfizer,1,52422,2
2021-08-26,pfizer,1,90090,2
2021-08-27,sinovac,1,81440,1
2021-09-01,pfizer,1,117000,2
2021-09-02,astrazeneca,1,56300,0
2021-09-08,astrazeneca,1,45600,0
2021-09-08,astrazeneca,1,85992,0
2021-09-08,pfizer,1,74880,2
2021-09-09,astrazeneca,1,2463259,0
2021-09-09,janssen,1,882521,4
2021-09-09,moderna,1,1918583,3
2021-09-09,pfizer,1,8394852,2
2021-09-09,sinovac,1,6340788,1
