Date,Imports,Replicate
2020-03-06,1,1
2020-03-11,2,1
2020-03-12,2,1
2020-03-13,1,1
2020-03-14,3,1
2020-03-15,7,1
2020-03-16,6,1
2020-03-17,6,1
2020-03-18,4,1
2020-03-19,6,1
2020-03-20,18,1
2020-03-21,4,1
2020-03-22,1,1
2020-03-23,14,1
2020-03-24,26,1
2020-03-25,6,1
2020-03-26,3,1
2020-03-27,18,1
2020-03-28,12,1
2020-03-29,12,1
2020-03-30,24,1
2020-03-31,10,1
2020-04-01,15,1
2020-04-02,23,1
2020-04-03,5,1
2020-04-04,24,1
2020-04-05,5,1
2020-04-06,7,1
2020-04-07,13,1
2020-04-08,25,1
2020-04-09,4,1
2020-04-10,9,1
2020-04-11,1,1
2020-04-12,1,1
