Date,Department,Day,VaccinesApplied
2021-02-17,Bogotá,0,2213.0351636428386
2021-02-18,Bogotá,1,2545.3853794251045
2021-02-19,Bogotá,2,2877.708228205054
2021-02-20,Bogotá,3,3209.958998716036
2021-02-21,Bogotá,4,3542.0741344099806
2021-02-22,Bogotá,5,3873.973659706222
2021-02-23,Bogotá,6,4205.563562076386
2021-02-24,Bogotá,7,4536.73812721948
2021-02-25,Bogotá,8,4867.382224018089
2021-02-26,Bogotá,9,5197.373535485458
2021-02-27,Bogotá,10,5526.584731510891
2021-02-28,Bogotá,11,5854.8855788737055
2021-03-01,Bogotá,12,6182.144983735307
2021-03-02,Bogotá,13,6508.232961636299
2021-03-03,Bogotá,14,6833.022529892056
2021-03-04,Bogotá,15,7156.391517236436
2021-03-05,Bogotá,16,7478.2242855701115
2021-03-06,Bogotá,17,7798.41335873714
2021-03-07,Bogotá,18,8116.860953394491
2021-03-08,Bogotá,19,8433.480407218638
2021-03-09,Bogotá,20,8748.197499940936
2021-03-10,Bogotá,21,9060.95166299308
2021-03-11,Bogotá,22,9371.69707388516
2021-03-12,Bogotá,23,9680.40363181886
2021-03-13,Bogotá,24,9987.057811467166
2021-03-14,Bogotá,25,10291.663392299884
2021-03-15,Bogotá,26,10594.242061339704
2021-03-16,Bogotá,27,10894.833887736211
2021-03-17,Bogotá,28,11193.497668101001
2021-03-18,Bogotá,29,11490.311142101098
2021-03-19,Bogotá,30,11785.371078385866
2021-03-20,Bogotá,31,12078.793231517826
2021-03-21,Bogotá,32,12370.712171158488
2021-03-22,Bogotá,33,12661.280985374302
2021-03-23,Bogotá,34,12950.670860510356
2021-03-24,Bogotá,35,13239.07054067525
2021-03-25,Bogotá,36,13526.685670457533
2021-03-26,Bogotá,37,13813.738025060777
2021-03-27,Bogotá,38,14100.46463259056
2021-03-28,Bogotá,39,14387.116793752728
2021-03-29,Bogotá,40,14673.959004722321
2021-03-30,Bogotá,41,14961.267789415695
2021-03-31,Bogotá,42,15249.330447837612
2021-04-01,Bogotá,43,15538.443727581842
2021-04-02,Bogotá,44,15828.912425931368
2021-04-03,Bogotá,45,16121.047930333967
2021-04-04,Bogotá,46,16415.166705317944
2021-04-05,Bogotá,47,16711.588734151097
2021-04-06,Bogotá,48,17010.635923752496
2021-04-07,Bogotá,49,17312.630481511318
2021-04-08,Bogotá,50,17617.893272775218
2021-04-09,Bogotá,51,17926.74216782763
2021-04-10,Bogotá,52,18239.490387179918
2021-04-11,Bogotá,53,18556.444853964007
2021-04-12,Bogotá,54,18877.904562123444
2021-04-13,Bogotá,55,19204.158968965043
2021-04-14,Bogotá,56,19535.486420446956
2021-04-15,Bogotá,57,19872.15261735607
2021-04-16,Bogotá,58,20214.40913024957
2021-04-17,Bogotá,59,20562.491970721276
2021-04-18,Bogotá,60,20916.620226203606
2021-04-19,Bogotá,61,21276.994765111485
2021-04-20,Bogotá,62,21643.7970187167
2021-04-21,Bogotá,63,22017.18784566968
2021-04-22,Bogotá,64,22397.306484597848
2021-04-23,Bogotá,65,22784.269599689866
2021-04-24,Bogotá,66,23178.17042362778
2021-04-25,Bogotá,67,23579.078001671623
